"age" "job" "marital" "education" "default" "balance" "housing" "loan" "contact" "day" "month" "duration" "campaign" "pdays" "previous" "poutcome" "y"
"77" 44 "blue-collar" "married" "secondary" "no" 582 "no" "yes" "unknown" 5 "may" 211 1 -1 0 "unknown" "no"
"86" 51 "blue-collar" "married" "primary" "no" 173 "yes" "no" "unknown" 5 "may" 529 2 -1 0 "unknown" "no"
"94" 60 "blue-collar" "married" "unknown" "no" 54 "yes" "no" "unknown" 5 "may" 221 1 -1 0 "unknown" "no"
"97" 55 "blue-collar" "married" "secondary" "no" 383 "no" "no" "unknown" 5 "may" 287 1 -1 0 "unknown" "no"
"101" 44 "blue-collar" "married" "secondary" "no" -674 "yes" "no" "unknown" 5 "may" 257 1 -1 0 "unknown" "no"
"102" 53 "blue-collar" "married" "primary" "no" 90 "no" "no" "unknown" 5 "may" 124 1 -1 0 "unknown" "no"
"103" 52 "blue-collar" "married" "primary" "no" 128 "yes" "no" "unknown" 5 "may" 229 1 -1 0 "unknown" "no"
"104" 59 "blue-collar" "married" "primary" "no" 179 "yes" "no" "unknown" 5 "may" 55 3 -1 0 "unknown" "no"
"106" 44 "blue-collar" "married" "secondary" "no" 54 "yes" "no" "unknown" 5 "may" 197 1 -1 0 "unknown" "no"
"114" 36 "blue-collar" "married" "primary" "no" 448 "yes" "no" "unknown" 5 "may" 286 1 -1 0 "unknown" "no"
"116" 44 "blue-collar" "married" "secondary" "no" 144 "yes" "no" "unknown" 5 "may" 247 2 -1 0 "unknown" "no"
"122" 51 "blue-collar" "married" "secondary" "no" 26 "yes" "no" "unknown" 5 "may" 79 1 -1 0 "unknown" "no"
"129" 31 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 143 1 -1 0 "unknown" "no"
"136" 23 "blue-collar" "married" "secondary" "no" 94 "yes" "no" "unknown" 5 "may" 193 1 -1 0 "unknown" "no"
"139" 32 "blue-collar" "married" "secondary" "no" 517 "yes" "no" "unknown" 5 "may" 528 1 -1 0 "unknown" "no"
"140" 46 "blue-collar" "married" "secondary" "no" 265 "yes" "no" "unknown" 5 "may" 541 1 -1 0 "unknown" "no"
"144" 37 "blue-collar" "married" "secondary" "no" 37 "yes" "no" "unknown" 5 "may" 204 1 -1 0 "unknown" "no"
"145" 59 "blue-collar" "married" "secondary" "no" 57 "yes" "no" "unknown" 5 "may" 98 1 -1 0 "unknown" "no"
"147" 56 "blue-collar" "divorced" "primary" "no" 8 "yes" "no" "unknown" 5 "may" 157 2 -1 0 "unknown" "no"
"150" 54 "blue-collar" "married" "primary" "no" 348 "yes" "no" "unknown" 5 "may" 579 2 -1 0 "unknown" "no"
"151" 51 "blue-collar" "married" "unknown" "no" -19 "yes" "no" "unknown" 5 "may" 163 2 -1 0 "unknown" "no"
"157" 51 "blue-collar" "married" "unknown" "no" 1883 "yes" "no" "unknown" 5 "may" 57 1 -1 0 "unknown" "no"
"159" 52 "blue-collar" "married" "secondary" "no" 782 "yes" "no" "unknown" 5 "may" 93 3 -1 0 "unknown" "no"
"160" 48 "blue-collar" "married" "secondary" "no" 904 "yes" "no" "unknown" 5 "may" 128 2 -1 0 "unknown" "no"
"164" 40 "blue-collar" "married" "secondary" "no" 1225 "yes" "no" "unknown" 5 "may" 558 5 -1 0 "unknown" "no"
"170" 50 "blue-collar" "married" "primary" "no" 0 "no" "no" "unknown" 5 "may" 233 3 -1 0 "unknown" "no"
"171" 35 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 1056 1 -1 0 "unknown" "no"
"189" 34 "blue-collar" "single" "secondary" "no" 53 "yes" "yes" "unknown" 5 "may" 346 1 -1 0 "unknown" "no"
"195" 34 "blue-collar" "married" "secondary" "no" 243 "yes" "no" "unknown" 5 "may" 291 1 -1 0 "unknown" "no"
"196" 33 "blue-collar" "single" "secondary" "no" 307 "yes" "no" "unknown" 5 "may" 309 2 -1 0 "unknown" "no"
"200" 61 "blue-collar" "divorced" "primary" "no" 1428 "yes" "no" "unknown" 5 "may" 82 2 -1 0 "unknown" "no"
"203" 44 "blue-collar" "married" "secondary" "no" 575 "yes" "no" "unknown" 5 "may" 477 1 -1 0 "unknown" "no"
"211" 38 "blue-collar" "married" "secondary" "no" -390 "yes" "no" "unknown" 5 "may" 287 1 -1 0 "unknown" "no"
"215" 54 "blue-collar" "married" "primary" "no" -41 "yes" "no" "unknown" 5 "may" 288 1 -1 0 "unknown" "no"
"222" 28 "blue-collar" "married" "primary" "no" 324 "yes" "no" "unknown" 5 "may" 175 1 -1 0 "unknown" "no"
"226" 48 "blue-collar" "married" "primary" "no" 278 "yes" "no" "unknown" 5 "may" 125 2 -1 0 "unknown" "no"
"229" 36 "blue-collar" "married" "unknown" "no" 1033 "no" "no" "unknown" 5 "may" 238 2 -1 0 "unknown" "no"
"231" 47 "blue-collar" "married" "primary" "no" -12 "yes" "no" "unknown" 5 "may" 18 1 -1 0 "unknown" "no"
"234" 53 "blue-collar" "married" "unknown" "no" 1827 "no" "no" "unknown" 5 "may" 121 1 -1 0 "unknown" "no"
"235" 55 "blue-collar" "married" "primary" "no" 627 "yes" "no" "unknown" 5 "may" 247 1 -1 0 "unknown" "no"
"236" 45 "blue-collar" "married" "primary" "no" 25 "yes" "no" "unknown" 5 "may" 40 1 -1 0 "unknown" "no"
"238" 37 "blue-collar" "married" "primary" "no" 0 "yes" "no" "unknown" 5 "may" 79 1 -1 0 "unknown" "no"
"240" 49 "blue-collar" "divorced" "primary" "no" -9 "yes" "yes" "unknown" 5 "may" 389 1 -1 0 "unknown" "no"
"247" 22 "blue-collar" "single" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 179 2 -1 0 "unknown" "no"
"249" 39 "blue-collar" "married" "secondary" "no" 483 "yes" "no" "unknown" 5 "may" 282 1 -1 0 "unknown" "no"
"252" 53 "blue-collar" "married" "secondary" "no" 0 "yes" "yes" "unknown" 5 "may" 181 1 -1 0 "unknown" "no"
"256" 39 "blue-collar" "married" "primary" "no" 279 "yes" "no" "unknown" 5 "may" 361 1 -1 0 "unknown" "no"
"260" 40 "blue-collar" "married" "secondary" "no" 475 "yes" "no" "unknown" 5 "may" 332 2 -1 0 "unknown" "no"
"261" 53 "blue-collar" "married" "secondary" "no" 70 "yes" "no" "unknown" 5 "may" 611 2 -1 0 "unknown" "no"
"269" 41 "blue-collar" "married" "primary" "no" 183 "yes" "yes" "unknown" 5 "may" 110 2 -1 0 "unknown" "no"
"270" 40 "blue-collar" "married" "primary" "no" 0 "yes" "no" "unknown" 5 "may" 463 1 -1 0 "unknown" "no"
"272" 40 "blue-collar" "divorced" "primary" "no" 0 "yes" "no" "unknown" 5 "may" 962 1 -1 0 "unknown" "no"
"281" 50 "blue-collar" "married" "primary" "no" 61 "yes" "no" "unknown" 5 "may" 621 3 -1 0 "unknown" "no"
"284" 58 "blue-collar" "married" "primary" "no" 76 "yes" "no" "unknown" 5 "may" 156 2 -1 0 "unknown" "no"
"285" 30 "blue-collar" "single" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 5 2 -1 0 "unknown" "no"
"289" 32 "blue-collar" "married" "secondary" "no" 1331 "yes" "no" "unknown" 5 "may" 286 2 -1 0 "unknown" "no"
"297" 31 "blue-collar" "single" "secondary" "no" 3 "yes" "no" "unknown" 5 "may" 200 2 -1 0 "unknown" "no"
"299" 42 "blue-collar" "divorced" "primary" "no" 28 "yes" "no" "unknown" 5 "may" 126 3 -1 0 "unknown" "no"
"301" 42 "blue-collar" "married" "unknown" "no" 408 "yes" "no" "unknown" 5 "may" 107 2 -1 0 "unknown" "no"
"308" 55 "blue-collar" "married" "secondary" "no" 89 "yes" "no" "unknown" 5 "may" 106 3 -1 0 "unknown" "no"
"309" 44 "blue-collar" "married" "secondary" "no" 129 "yes" "yes" "unknown" 5 "may" 189 2 -1 0 "unknown" "no"
"317" 36 "blue-collar" "married" "secondary" "no" 539 "yes" "yes" "unknown" 5 "may" 453 2 -1 0 "unknown" "no"
"320" 42 "blue-collar" "married" "secondary" "no" 490 "yes" "no" "unknown" 5 "may" 386 2 -1 0 "unknown" "no"
"321" 51 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 173 2 -1 0 "unknown" "no"
"322" 49 "blue-collar" "married" "unknown" "no" 403 "yes" "no" "unknown" 5 "may" 241 2 -1 0 "unknown" "no"
"327" 40 "blue-collar" "single" "secondary" "no" 436 "yes" "no" "unknown" 5 "may" 231 3 -1 0 "unknown" "no"
"330" 41 "blue-collar" "married" "secondary" "no" 290 "yes" "no" "unknown" 5 "may" 240 2 -1 0 "unknown" "no"
"331" 48 "blue-collar" "married" "secondary" "no" 1 "no" "no" "unknown" 5 "may" 669 3 -1 0 "unknown" "no"
"332" 42 "blue-collar" "married" "unknown" "no" 57 "yes" "no" "unknown" 5 "may" 425 2 -1 0 "unknown" "no"
"333" 30 "blue-collar" "single" "secondary" "no" -457 "yes" "no" "unknown" 5 "may" 143 2 -1 0 "unknown" "no"
"336" 49 "blue-collar" "married" "secondary" "no" 30 "yes" "no" "unknown" 5 "may" 135 4 -1 0 "unknown" "no"
"341" 41 "blue-collar" "single" "secondary" "no" 842 "yes" "no" "unknown" 5 "may" 144 3 -1 0 "unknown" "no"
"343" 40 "blue-collar" "divorced" "secondary" "no" -333 "yes" "no" "unknown" 5 "may" 183 2 -1 0 "unknown" "no"
"344" 50 "blue-collar" "married" "primary" "no" 1533 "yes" "no" "unknown" 5 "may" 325 2 -1 0 "unknown" "no"
"348" 39 "blue-collar" "married" "primary" "no" -100 "yes" "no" "unknown" 5 "may" 680 2 -1 0 "unknown" "no"
"352" 45 "blue-collar" "married" "secondary" "no" 66 "yes" "no" "unknown" 5 "may" 808 2 -1 0 "unknown" "no"
"354" 36 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 195 2 -1 0 "unknown" "no"
"357" 44 "blue-collar" "single" "secondary" "no" 34 "yes" "no" "unknown" 5 "may" 404 4 -1 0 "unknown" "no"
"359" 40 "blue-collar" "married" "secondary" "no" 211 "yes" "no" "unknown" 5 "may" 216 4 -1 0 "unknown" "no"
"373" 37 "blue-collar" "married" "secondary" "no" 1293 "no" "no" "unknown" 6 "may" 652 1 -1 0 "unknown" "no"
"375" 48 "blue-collar" "married" "unknown" "no" 131 "yes" "no" "unknown" 6 "may" 189 1 -1 0 "unknown" "no"
"376" 49 "blue-collar" "single" "secondary" "no" 143 "yes" "no" "unknown" 6 "may" 83 1 -1 0 "unknown" "no"
"378" 43 "blue-collar" "married" "primary" "no" 98 "yes" "no" "unknown" 6 "may" 235 1 -1 0 "unknown" "no"
"380" 55 "blue-collar" "married" "secondary" "no" 224 "yes" "no" "unknown" 6 "may" 232 1 -1 0 "unknown" "no"
"381" 38 "blue-collar" "married" "secondary" "no" 757 "yes" "no" "unknown" 6 "may" 133 1 -1 0 "unknown" "no"
"385" 38 "blue-collar" "married" "secondary" "no" 20 "yes" "no" "unknown" 6 "may" 402 1 -1 0 "unknown" "no"
"390" 58 "blue-collar" "divorced" "unknown" "no" 29 "yes" "no" "unknown" 6 "may" 253 1 -1 0 "unknown" "no"
"395" 43 "blue-collar" "married" "secondary" "no" 1205 "yes" "no" "unknown" 6 "may" 769 2 -1 0 "unknown" "no"
"399" 34 "blue-collar" "married" "secondary" "no" 283 "no" "yes" "unknown" 6 "may" 199 1 -1 0 "unknown" "no"
"400" 47 "blue-collar" "married" "primary" "no" 206 "yes" "no" "unknown" 6 "may" 152 1 -1 0 "unknown" "no"
"408" 46 "blue-collar" "divorced" "primary" "no" 1927 "yes" "no" "unknown" 6 "may" 241 3 -1 0 "unknown" "no"
"410" 46 "blue-collar" "married" "secondary" "no" 1660 "yes" "no" "unknown" 6 "may" 259 1 -1 0 "unknown" "no"
"412" 51 "blue-collar" "married" "primary" "no" 230 "yes" "no" "unknown" 6 "may" 673 1 -1 0 "unknown" "no"
"419" 52 "blue-collar" "divorced" "primary" "no" 55 "yes" "yes" "unknown" 6 "may" 186 1 -1 0 "unknown" "no"
"424" 40 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 6 "may" 225 1 -1 0 "unknown" "no"
"428" 54 "blue-collar" "married" "primary" "no" 2102 "yes" "no" "unknown" 6 "may" 76 1 -1 0 "unknown" "no"
"430" 40 "blue-collar" "married" "secondary" "no" 217 "yes" "no" "unknown" 6 "may" 195 1 -1 0 "unknown" "no"
"433" 39 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 6 "may" 262 1 -1 0 "unknown" "no"
"434" 40 "blue-collar" "married" "primary" "no" 46 "yes" "no" "unknown" 6 "may" 119 1 -1 0 "unknown" "no"
"435" 32 "blue-collar" "married" "secondary" "no" 320 "yes" "no" "unknown" 6 "may" 198 2 -1 0 "unknown" "no"
"437" 45 "blue-collar" "married" "secondary" "no" 39 "no" "no" "unknown" 6 "may" 241 1 -1 0 "unknown" "no"
"443" 36 "blue-collar" "married" "secondary" "no" 139 "yes" "no" "unknown" 6 "may" 309 2 -1 0 "unknown" "no"
"450" 42 "blue-collar" "married" "unknown" "no" 132 "yes" "no" "unknown" 6 "may" 238 1 -1 0 "unknown" "no"
"455" 34 "blue-collar" "married" "secondary" "no" 270 "yes" "yes" "unknown" 6 "may" 159 1 -1 0 "unknown" "no"
"456" 44 "blue-collar" "married" "secondary" "no" 274 "yes" "yes" "unknown" 6 "may" 409 1 -1 0 "unknown" "no"
"459" 33 "blue-collar" "single" "secondary" "yes" -60 "no" "no" "unknown" 6 "may" 243 1 -1 0 "unknown" "no"
"460" 35 "blue-collar" "married" "secondary" "no" 89 "yes" "no" "unknown" 6 "may" 145 2 -1 0 "unknown" "no"
"461" 58 "blue-collar" "divorced" "secondary" "no" -11 "no" "no" "unknown" 6 "may" 112 1 -1 0 "unknown" "no"
"462" 39 "blue-collar" "married" "primary" "no" 0 "yes" "no" "unknown" 6 "may" 262 2 -1 0 "unknown" "no"
"463" 43 "blue-collar" "married" "secondary" "no" -509 "yes" "no" "unknown" 6 "may" 124 1 -1 0 "unknown" "no"
"468" 50 "blue-collar" "married" "primary" "no" 71 "yes" "no" "unknown" 6 "may" 678 1 -1 0 "unknown" "no"
"469" 55 "blue-collar" "married" "secondary" "no" 52 "yes" "no" "unknown" 6 "may" 182 1 -1 0 "unknown" "no"
"473" 46 "blue-collar" "married" "unknown" "no" 1044 "yes" "no" "unknown" 6 "may" 43 1 -1 0 "unknown" "no"
"474" 39 "blue-collar" "married" "secondary" "no" 983 "yes" "no" "unknown" 6 "may" 97 1 -1 0 "unknown" "no"
"476" 40 "blue-collar" "married" "primary" "no" 668 "yes" "no" "unknown" 6 "may" 283 2 -1 0 "unknown" "no"
"481" 51 "blue-collar" "married" "primary" "no" 1127 "yes" "no" "unknown" 6 "may" 47 1 -1 0 "unknown" "no"
"484" 43 "blue-collar" "married" "secondary" "no" 0 "no" "no" "unknown" 6 "may" 187 1 -1 0 "unknown" "no"
"487" 43 "blue-collar" "divorced" "secondary" "no" 110 "yes" "yes" "unknown" 6 "may" 448 1 -1 0 "unknown" "no"
"490" 40 "blue-collar" "married" "primary" "no" -66 "yes" "no" "unknown" 6 "may" 288 1 -1 0 "unknown" "no"
"492" 29 "blue-collar" "married" "secondary" "no" 1 "yes" "no" "unknown" 6 "may" 215 1 -1 0 "unknown" "no"
"493" 36 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 6 "may" 337 1 -1 0 "unknown" "no"
"495" 30 "blue-collar" "divorced" "secondary" "no" -209 "yes" "no" "unknown" 6 "may" 188 2 -1 0 "unknown" "no"
"497" 39 "blue-collar" "divorced" "secondary" "no" 42 "yes" "no" "unknown" 6 "may" 226 2 -1 0 "unknown" "no"
"498" 50 "blue-collar" "divorced" "secondary" "no" 41 "yes" "no" "unknown" 6 "may" 190 1 -1 0 "unknown" "no"
"499" 44 "blue-collar" "married" "secondary" "no" -99 "yes" "no" "unknown" 6 "may" 111 2 -1 0 "unknown" "no"
"504" 29 "blue-collar" "married" "secondary" "no" 9 "yes" "no" "unknown" 6 "may" 349 1 -1 0 "unknown" "no"
"505" 41 "blue-collar" "married" "secondary" "no" 946 "yes" "no" "unknown" 6 "may" 325 1 -1 0 "unknown" "no"
"506" 45 "blue-collar" "married" "primary" "no" 1297 "yes" "no" "unknown" 6 "may" 233 2 -1 0 "unknown" "no"
"508" 48 "blue-collar" "single" "secondary" "no" 44 "yes" "no" "unknown" 6 "may" 153 1 -1 0 "unknown" "no"
"514" 41 "blue-collar" "married" "primary" "no" 0 "yes" "yes" "unknown" 6 "may" 238 1 -1 0 "unknown" "no"
"518" 44 "blue-collar" "married" "primary" "no" 148 "yes" "no" "unknown" 6 "may" 211 1 -1 0 "unknown" "no"
"520" 34 "blue-collar" "single" "tertiary" "no" 1011 "yes" "no" "unknown" 6 "may" 136 1 -1 0 "unknown" "no"
"526" 43 "blue-collar" "married" "secondary" "no" 1335 "yes" "no" "unknown" 6 "may" 371 2 -1 0 "unknown" "no"
"531" 44 "blue-collar" "married" "primary" "no" 213 "no" "no" "unknown" 6 "may" 158 1 -1 0 "unknown" "no"
"536" 45 "blue-collar" "divorced" "secondary" "no" 756 "yes" "no" "unknown" 6 "may" 179 2 -1 0 "unknown" "no"
"537" 48 "blue-collar" "married" "secondary" "no" 157 "yes" "no" "unknown" 6 "may" 73 1 -1 0 "unknown" "no"
"538" 45 "blue-collar" "married" "primary" "no" -66 "yes" "no" "unknown" 6 "may" 263 2 -1 0 "unknown" "no"
"539" 34 "blue-collar" "married" "unknown" "no" 245 "yes" "no" "unknown" 6 "may" 13 1 -1 0 "unknown" "no"
"540" 34 "blue-collar" "married" "primary" "no" -144 "yes" "no" "unknown" 6 "may" 79 2 -1 0 "unknown" "no"
"541" 46 "blue-collar" "married" "secondary" "no" 71 "yes" "no" "unknown" 6 "may" 416 1 -1 0 "unknown" "no"
"547" 59 "blue-collar" "divorced" "unknown" "no" 124 "yes" "no" "unknown" 6 "may" 26 1 -1 0 "unknown" "no"
"548" 45 "blue-collar" "married" "secondary" "no" 82 "yes" "no" "unknown" 6 "may" 250 1 -1 0 "unknown" "no"
"555" 33 "blue-collar" "married" "secondary" "no" -10 "yes" "no" "unknown" 6 "may" 123 1 -1 0 "unknown" "no"
"559" 39 "blue-collar" "divorced" "unknown" "no" 170 "yes" "no" "unknown" 6 "may" 268 2 -1 0 "unknown" "no"
"561" 52 "blue-collar" "married" "secondary" "no" 3165 "no" "no" "unknown" 6 "may" 26 1 -1 0 "unknown" "no"
"566" 57 "blue-collar" "married" "primary" "no" 5431 "yes" "yes" "unknown" 6 "may" 383 1 -1 0 "unknown" "no"
"569" 34 "blue-collar" "married" "secondary" "no" 0 "no" "no" "unknown" 6 "may" 195 1 -1 0 "unknown" "no"
"572" 56 "blue-collar" "married" "secondary" "no" 1602 "yes" "no" "unknown" 6 "may" 427 1 -1 0 "unknown" "no"
"573" 41 "blue-collar" "single" "primary" "yes" -137 "yes" "yes" "unknown" 6 "may" 189 1 -1 0 "unknown" "no"
"579" 53 "blue-collar" "married" "primary" "no" 25 "yes" "no" "unknown" 6 "may" 266 3 -1 0 "unknown" "no"
"581" 39 "blue-collar" "divorced" "primary" "no" 190 "yes" "yes" "unknown" 6 "may" 96 2 -1 0 "unknown" "no"
"586" 35 "blue-collar" "married" "primary" "no" 0 "yes" "no" "unknown" 6 "may" 154 2 -1 0 "unknown" "no"
"587" 55 "blue-collar" "married" "secondary" "no" 840 "yes" "no" "unknown" 6 "may" 310 2 -1 0 "unknown" "no"
"590" 37 "blue-collar" "married" "primary" "no" -325 "yes" "yes" "unknown" 6 "may" 112 2 -1 0 "unknown" "no"
"598" 30 "blue-collar" "married" "secondary" "no" 450 "no" "no" "unknown" 6 "may" 526 2 -1 0 "unknown" "no"
"601" 38 "blue-collar" "married" "secondary" "no" 384 "yes" "no" "unknown" 6 "may" 1906 3 -1 0 "unknown" "no"
"602" 37 "blue-collar" "married" "secondary" "no" 395 "yes" "no" "unknown" 6 "may" 219 2 -1 0 "unknown" "no"
"604" 56 "blue-collar" "married" "primary" "no" 5 "yes" "yes" "unknown" 6 "may" 407 2 -1 0 "unknown" "no"
"605" 51 "blue-collar" "married" "secondary" "no" 50 "yes" "yes" "unknown" 6 "may" 121 1 -1 0 "unknown" "no"
"606" 39 "blue-collar" "married" "secondary" "no" 285 "yes" "yes" "unknown" 6 "may" 209 1 -1 0 "unknown" "no"
"608" 51 "blue-collar" "married" "primary" "no" 653 "yes" "yes" "unknown" 6 "may" 208 1 -1 0 "unknown" "no"
"614" 53 "blue-collar" "married" "secondary" "no" 3397 "yes" "no" "unknown" 6 "may" 231 1 -1 0 "unknown" "no"
"617" 31 "blue-collar" "single" "tertiary" "no" 60 "yes" "yes" "unknown" 6 "may" 389 1 -1 0 "unknown" "no"
"618" 39 "blue-collar" "married" "primary" "no" 2226 "yes" "no" "unknown" 6 "may" 158 1 -1 0 "unknown" "no"
"619" 40 "blue-collar" "married" "primary" "no" 2880 "yes" "no" "unknown" 6 "may" 145 2 -1 0 "unknown" "no"
"633" 42 "blue-collar" "married" "primary" "no" 15 "yes" "no" "unknown" 6 "may" 230 1 -1 0 "unknown" "no"
"637" 52 "blue-collar" "divorced" "primary" "yes" -183 "yes" "no" "unknown" 6 "may" 145 1 -1 0 "unknown" "no"
"642" 33 "blue-collar" "married" "primary" "no" 332 "yes" "no" "unknown" 6 "may" 116 2 -1 0 "unknown" "no"
"643" 37 "blue-collar" "single" "secondary" "no" 240 "yes" "no" "unknown" 6 "may" 246 1 -1 0 "unknown" "no"
"656" 33 "blue-collar" "married" "secondary" "no" -349 "yes" "no" "unknown" 6 "may" 191 1 -1 0 "unknown" "no"
"658" 40 "blue-collar" "married" "primary" "no" -322 "yes" "yes" "unknown" 6 "may" 144 1 -1 0 "unknown" "no"
"664" 34 "blue-collar" "married" "secondary" "no" 848 "yes" "no" "unknown" 6 "may" 684 2 -1 0 "unknown" "no"
"666" 41 "blue-collar" "married" "secondary" "no" 140 "yes" "no" "unknown" 6 "may" 311 3 -1 0 "unknown" "no"
"671" 46 "blue-collar" "married" "primary" "no" 530 "yes" "no" "unknown" 6 "may" 739 3 -1 0 "unknown" "no"
"672" 31 "blue-collar" "single" "secondary" "no" 0 "yes" "no" "unknown" 6 "may" 273 2 -1 0 "unknown" "no"
"674" 29 "blue-collar" "married" "secondary" "no" 43 "yes" "no" "unknown" 6 "may" 268 2 -1 0 "unknown" "no"
"677" 37 "blue-collar" "married" "primary" "no" 215 "yes" "yes" "unknown" 6 "may" 308 3 -1 0 "unknown" "no"
"690" 40 "blue-collar" "married" "primary" "yes" 0 "yes" "no" "unknown" 6 "may" 64 2 -1 0 "unknown" "no"
"692" 36 "blue-collar" "married" "primary" "no" 23 "yes" "no" "unknown" 6 "may" 400 2 -1 0 "unknown" "no"
"698" 49 "blue-collar" "married" "secondary" "no" 26 "yes" "no" "unknown" 6 "may" 276 2 -1 0 "unknown" "no"
"702" 46 "blue-collar" "married" "unknown" "no" 401 "yes" "no" "unknown" 6 "may" 306 2 -1 0 "unknown" "no"
"706" 40 "blue-collar" "divorced" "primary" "no" 369 "no" "no" "unknown" 6 "may" 79 2 -1 0 "unknown" "no"
"710" 33 "blue-collar" "married" "secondary" "no" 372 "yes" "no" "unknown" 6 "may" 132 2 -1 0 "unknown" "no"
"712" 40 "blue-collar" "divorced" "secondary" "no" 0 "yes" "no" "unknown" 6 "may" 121 2 -1 0 "unknown" "no"
"718" 39 "blue-collar" "married" "secondary" "no" 607 "yes" "no" "unknown" 6 "may" 99 2 -1 0 "unknown" "no"
"719" 44 "blue-collar" "divorced" "secondary" "no" 579 "yes" "no" "unknown" 6 "may" 198 2 -1 0 "unknown" "no"
"723" 52 "blue-collar" "married" "primary" "no" 58 "yes" "no" "unknown" 6 "may" 213 3 -1 0 "unknown" "no"
"725" 36 "blue-collar" "married" "secondary" "no" 688 "yes" "no" "unknown" 6 "may" 174 2 -1 0 "unknown" "no"
"730" 51 "blue-collar" "divorced" "primary" "no" 325 "yes" "no" "unknown" 6 "may" 254 2 -1 0 "unknown" "no"
"731" 49 "blue-collar" "married" "primary" "no" 198 "yes" "no" "unknown" 6 "may" 200 2 -1 0 "unknown" "no"
"733" 37 "blue-collar" "married" "secondary" "no" 183 "yes" "no" "unknown" 6 "may" 112 4 -1 0 "unknown" "no"
"736" 35 "blue-collar" "single" "secondary" "no" 376 "yes" "yes" "unknown" 6 "may" 207 3 -1 0 "unknown" "no"
"737" 40 "blue-collar" "married" "primary" "no" -7 "yes" "no" "unknown" 6 "may" 410 2 -1 0 "unknown" "no"
"741" 57 "blue-collar" "married" "primary" "no" 162 "yes" "no" "unknown" 6 "may" 155 2 -1 0 "unknown" "no"
"743" 41 "blue-collar" "married" "primary" "no" 512 "yes" "no" "unknown" 6 "may" 233 2 -1 0 "unknown" "no"
"744" 57 "blue-collar" "married" "unknown" "no" 807 "yes" "no" "unknown" 6 "may" 211 2 -1 0 "unknown" "no"
"745" 45 "blue-collar" "married" "unknown" "no" 248 "yes" "no" "unknown" 6 "may" 88 5 -1 0 "unknown" "no"
"746" 43 "blue-collar" "married" "primary" "no" 1211 "yes" "no" "unknown" 6 "may" 208 3 -1 0 "unknown" "no"
"749" 37 "blue-collar" "single" "secondary" "no" 88 "yes" "no" "unknown" 6 "may" 128 2 -1 0 "unknown" "no"
"752" 54 "blue-collar" "married" "secondary" "no" 254 "yes" "no" "unknown" 6 "may" 66 2 -1 0 "unknown" "no"
"761" 33 "blue-collar" "divorced" "secondary" "no" 60 "no" "no" "unknown" 6 "may" 190 3 -1 0 "unknown" "no"
